policy_training_condition,policy_training_seed,tag,environment_steps,value
nominal,5,rollout/ep_rew_mean,2891776,1163.86572265625
nominal,5,rollout/ep_rew_mean,2899968,1116.0235595703125
nominal,5,rollout/ep_rew_mean,2908160,1149.360107421875
nominal,5,rollout/ep_rew_mean,2916352,1165.995849609375
nominal,5,rollout/ep_rew_mean,2924544,1211.0748291015625
nominal,5,rollout/ep_rew_mean,2932736,1216.5177001953125
nominal,5,rollout/ep_rew_mean,2940928,1179.4305419921875
nominal,5,rollout/ep_rew_mean,2949120,1185.3994140625
nominal,5,rollout/ep_rew_mean,2957312,1149.635498046875
nominal,5,rollout/ep_rew_mean,2965504,1086.6656494140625
nominal,5,rollout/ep_rew_mean,2973696,1148.523193359375
nominal,5,rollout/ep_rew_mean,2981888,1134.995361328125
nominal,5,rollout/ep_rew_mean,2990080,1140.75
nominal,5,rollout/ep_rew_mean,2998272,1143.4549560546875
nominal,5,rollout/ep_rew_mean,3006464,1180.4188232421875
nominal,5,rollout/ep_rew_mean,3014656,1176.6680908203125
nominal,5,rollout/ep_rew_mean,3022848,1245.271484375
nominal,5,rollout/ep_rew_mean,3031040,1276.676025390625
nominal,5,rollout/ep_rew_mean,3039232,1246.35693359375
nominal,5,rollout/ep_rew_mean,3047424,1296.1669921875
nominal,5,rollout/ep_rew_mean,3055616,1303.184326171875
nominal,5,rollout/ep_rew_mean,3063808,1319.3994140625
nominal,5,rollout/ep_rew_mean,3072000,1290.1058349609375
nominal,5,rollout/ep_rew_mean,3080192,1331.5897216796875
nominal,5,rollout/ep_rew_mean,3088384,1327.9805908203125
nominal,5,rollout/ep_rew_mean,3096576,1351.6290283203125
nominal,5,rollout/ep_rew_mean,3104768,1335.087158203125
nominal,5,rollout/ep_rew_mean,3112960,1318.845703125
nominal,5,rollout/ep_rew_mean,3121152,1280.1396484375
nominal,5,rollout/ep_rew_mean,3129344,1313.12841796875
nominal,5,rollout/ep_rew_mean,3137536,1331.89892578125
nominal,5,rollout/ep_rew_mean,3145728,1262.7515869140625
nominal,5,rollout/ep_rew_mean,3153920,1176.086669921875
nominal,5,rollout/ep_rew_mean,3162112,1134.6322021484375
nominal,5,rollout/ep_rew_mean,3170304,1096.59228515625
nominal,5,rollout/ep_rew_mean,3178496,1096.314697265625
nominal,5,rollout/ep_rew_mean,3186688,1036.8302001953125
nominal,5,rollout/ep_rew_mean,3194880,978.2213134765625
nominal,5,rollout/ep_rew_mean,3203072,1006.1700439453125
nominal,5,rollout/ep_rew_mean,3211264,1009.8765258789062
nominal,5,rollout/ep_rew_mean,3219456,1100.3232421875
nominal,5,rollout/ep_rew_mean,3227648,1147.421142578125
nominal,5,rollout/ep_rew_mean,3235840,1173.8470458984375
nominal,5,rollout/ep_rew_mean,3244032,1191.837158203125
nominal,5,rollout/ep_rew_mean,3252224,1297.1260986328125
nominal,5,rollout/ep_rew_mean,3260416,1347.708251953125
nominal,5,rollout/ep_rew_mean,3268608,1333.9727783203125
nominal,5,rollout/ep_rew_mean,3276800,1361.888916015625
nominal,5,rollout/ep_rew_mean,3284992,1380.291015625
nominal,5,rollout/ep_rew_mean,3293184,1329.36767578125
nominal,5,rollout/ep_rew_mean,3301376,1353.580078125
nominal,5,rollout/ep_rew_mean,3309568,1430.443603515625
nominal,5,rollout/ep_rew_mean,3317760,1335.759765625
nominal,5,rollout/ep_rew_mean,3325952,1339.46435546875
nominal,5,rollout/ep_rew_mean,3334144,1366.9796142578125
nominal,5,rollout/ep_rew_mean,3342336,1395.135498046875
nominal,5,rollout/ep_rew_mean,3350528,1421.5970458984375
nominal,5,rollout/ep_rew_mean,3358720,1393.3214111328125
nominal,5,rollout/ep_rew_mean,3366912,1403.489990234375
nominal,5,rollout/ep_rew_mean,3375104,1355.30078125
nominal,5,rollout/ep_rew_mean,3383296,1384.2994384765625
nominal,5,rollout/ep_rew_mean,3391488,1391.6531982421875
nominal,5,rollout/ep_rew_mean,3399680,1358.1455078125
nominal,5,rollout/ep_rew_mean,3407872,1343.576416015625
nominal,5,rollout/ep_rew_mean,3416064,1336.3656005859375
nominal,5,rollout/ep_rew_mean,3424256,1372.2301025390625
nominal,5,rollout/ep_rew_mean,3432448,1379.15576171875
nominal,5,rollout/ep_rew_mean,3440640,1394.425537109375
nominal,5,rollout/ep_rew_mean,3448832,1416.9765625
nominal,5,rollout/ep_rew_mean,3457024,1372.937744140625
nominal,5,rollout/ep_rew_mean,3465216,1399.860107421875
nominal,5,rollout/ep_rew_mean,3473408,1399.1614990234375
nominal,5,rollout/ep_rew_mean,3481600,1366.6912841796875
